1,Screw-SC103212,Pcs,11,,,,11,,,,,,,,,,,,
2,Screw-22561,Pcs,12,,,,12,,,,,,,,,,,,
3,Screw-22894-AA,Pcs,,,,,0,,,,,,,,,,,,
4,Screw-22653L-8,Pcs,5,,,,5,,,,,,,,,,,,
5,Tention Nut -512926,Pcs,7,,,,7,,,,,,,,,,,,
6,Nut -258,Pcs,34,,,,34,,,,,,,,,,,,
7,Nut-51246,pes,11,,,,11,,,,,,,,,,,,
8,Nut-12934A,Pcs,19,,,,19,,,,,,,,,,,,
9,Nut-18,Pcs,26,,,,26,,,,,,,,,,,,
10,Nut-269,Pcs,21,,,,21,,,,,,,,,,,,
11,Tention Nut -43266,Pcs,25,,,,25,,,,,,,,,,,,
12,Washer-245261,Pcs,15,,,,15,,,,,,,,,,,,
13,Washer-20,Pcs,14,,,,14,,,,,,,,,,,,
14,Thread Guide -775181,Pcs,7,,,,7,,,,,,,,,,,,
15,Feed Rocker,Pcs,,,,,0,,,,,,,,,,,,
16,Rubber  Washer,Pcs,30,,,,30,,,,,,,,,,,,
17,Washer-31341,Pcs,4,,,,4,,,,,,,,,,,,
18,Washer-80557,Pcs,,,,,0,,,,,,,,,,,,
19,Washer-21657E,Pcs,28,,,,28,,,,,,,,,,,,
20,Washer-61311J,Pcs,3,,,,3,,,,,,,,,,,,
21,Washer -2W5,Pcs,30,,,,30,,,,,,,,,,,,
22,Washer -6042A,Pcs,,,,,0,,,,,,,,,,,,
23,Washer-56350F,Pcs,8,,,,8,,,,,,,,,,,,
24,Washer -51250D,Pcs,,,,,0,,,,,,,,,,,,
25,Rubber  Pad ,Pcs,181,,,,181,,,,,,,,,,,,
26,Screw-22559G,Pcs,,,,,0,,,,,,,,,,,,
27,Screw-22525A,Pcs,,,,,0,,,,,,,,,,,,
28,Main Shaft Head -774061,Pcs,4,,,,4,,,,,,,,,,,,
29,Feed Crank Stud-56336D,Pcs,4,,,,4,,,,,,,,,,,,
30,Needle Ball Joint-772031A,Pcs,4,,,,4,,,,,,,,,,,,
31,Looper Rocker-56313,Pcs,3,,,,3,,,,,,,,,,,,
32,Compressor Spring 1169014610,Pcs,2,,,,2,,,,,,,,,,,,
33,Looper Spring -51292F-2,Pcs,2,,,,2,,,,,,,,,,,,
34,Tention Spring -51292F-8,Pcs,,,,,0,,,,,,,,,,,,
35,Spring -B699066106,Pcs,1,,,,1,,,,,,,,,,,,
36,CirClip ,Pcs,43,,,,43,,,,,,,,,,,,
37,Quad Ring -660-269B,Pcs,3,,,,3,,,,,,,,,,,,
38,Ring  Rubber -772051,Pcs,19,,,,19,,,,,,,,,,,,
39,Retainirage Ring -660-438,Pcs,14,,,,14,,,,,,,,,,,,
40,Retainirage Ring -660-215,Pcs,132,,,,132,,,,,,,,,,,,
41,Oil Wick-CL-21,Pcs,8,,,,8,,,,,,,,,,,,
42,Wire Needle Take up -775191,Pcs,2,,,,2,,,,,,,,,,,,
43,Looper Stud -51745,Pcs,1,,,,1,,,,,,,,,,,,
44,Bell Crank Spring -56383D,Pcs,2,,,,2,,,,,,,,,,,,
45,O Ring -32LS56,Pcs,,,,,0,,,,,,,,,,,,
46,Filter Oil-35897BV,Pcs,13,,,,13,,,,,,,,,,,,
47,Ball Joint Guide -56343C,Pcs,6,,,,6,,,,,,,,,,,,
48,Finger Spring ,Pcs,22,,,,22,,,,,,,,,,,,
49,Oil Wick-755181,Pcs,21,,,,21,,,,,,,,,,,,
50,Feed Crank  Shaft -57836B,Pcs,,,,,0,,,,,,,,,,,,
51,Needle Bar Bushing -32151,Pcs,,,,,0,,,,,,,,,,,,
52,Needle Bar Bushing -32161,Pcs,5,,,,5,,,,,,,,,,,,
53,Needle Bar -51254K,Pcs,9,,,,9,,,,,,,,,,,,
54,Chira Pin,Pcs,,,,,0,,,,,,,,,,,,
55,Looper Throat (Revo)502568,Pcs,2,,,,2,,,,,,,,,,,,
56,Main Shaft-56190,Pcs,,,,,0,,,,,,,,,,,,
57,Pressure Bar -51257AA,Pcs,5,,,,5,,,,,,,,,,,,
58,Looper Connecting -753111,Pcs,6,,,,6,,,,,,,,,,,,
59,Needle Bar Bush-56154E ,Pcs,8,,,,8,,,,,,,,,,,,
60,Throat Plate -774141,Pcs,4,,,,4,,,,,,,,,,,,
61,Looper Rocker Shaft -50895BLK,Pcs,,,,,0,,,,,,,,,,,,
62,Ball  Joint -57841,Pcs,14,,,,14,,,,,,,,,,,,
63,Main Shaft  Bushing- 56390G,Pcs,8,,,,8,,,,,,,,,,,,
64,Looper Driving Shaft -502787,Pcs,2,,,,2,,,,,,,,,,,,
65,Connecting Link 56354D,Pcs,10,,,,10,,,,,,,,,,,,
