1,Rubber Hand Gloves,Pcs,24,,,,24,,,,,,,,,,,,
2,Heild Wire ,Pcs,2000,,,,2000,,,,,,,,,,,,
3,Lower Heddle Belt 465*98*10,Pcs,59,,,,59,,,,,,,,,,,,
4,Upper  Heddle Belt 230*98*10,Pcs,396,,,,396,,,,,,,,,,,,
5,Lower Heddle Belt 460*98*10,Pcs,100,,,,100,,,,,,,,,,,,
6,Heddle Belt Lower 455*110*15,Pcs,354,,,,354,,,,,,,,,,,,
7,Lower Belt 455*122*18,Pcs,654,,,,654,,,,,,,,,,,,
8,Swing Lever ,Pcs,62,,,,62,,,,,,,,,,,,
9,jockey Lever ,Pcs,161,,,,161,,,,,,,,,,,,
10,Warp Guide ,Pcs,73,,,,73,,,,,,,,,,,,
11,Warp Guide  Bracket ,Pcs,119,,,,119,,,,,,,,,,,,
12,Warp Guide  Bracket ,Pcs,255,,,,255,,,,,,,,,,,,
13,Warp Guide ,Pcs,144,,,,144,,,,,,,,,,,,
14,Cam Roller 45MM,Pcs,86,,,,86,,,,,,,,,,,,
15,Shuttle Wheel XR,Set,102,,,,102,,,,,,,,,,,,
16,Chochoid Roller-6001,Pcs,72,,,,72,,,,,,,,,,,,
17,Stopper Roller Brg 6001,Pcs,38,,,,38,,,,,,,,,,,,
18,Foam Washer ,Pcs,500,,,,500,,,,,,,,,,,,
19,Pusher Roller p,Pcs,50,,,,50,,,,,,,,,,,,
20,Pusher Roller 6000 Bearing ,Pcs,47,,,,47,,,,,,,,,,,,
21,Shuttle Wheel,Pcs,46,,,,46,,,,,,,,,,,,
22,Shuttle Wheel Red,Pcs,50,,,,50,,,,,,,,,,,,
23,Stopper Wheel p,Pcs,39,,,,39,,,,,,,,,,,,
24,Shuttle Wheel,Pcs,100,,,,100,,,,,,,,,,,,
25,Tracker Roller 50MM,Pcs,160,,,,160,,,,,,,,,,,,
26,Chonchoid Wheel P,Pcs,20,,,,20,,,,,,,,,,,,
27,Chonchoid Roller 6001,Pcs,20,,,,20,,,,,,,,,,,,
28,Chon  Roller Big ,Pcs,25,,,,25,,,,,,,,,,,,
29,Chonchoid Wheel ,Pcs,9,,,,9,,,,,,,,,,,,
30,Pusher Roller Platic Insert,Pcs,50,,,,50,,,,,,,,,,,,
31,Pusher Roller 6000 ,Pcs,25,,,,25,,,,,,,,,,,,
32,Pusher Roller R,Pcs,19,,,,19,,,,,,,,,,,,
33,Pusher Roller Bearing 6000,Pcs,125,,,,125,,,,,,,,,,,,
34,Pusher Roller Platic Insert,Pcs,25,,,,25,,,,,,,,,,,,
