"Product Name",Category,"Parts No","Rack No","Column No","Available unit","Unit type","Brand Name"
"Valve 0230-08",Electrical,,,,,2.00,Pcs,
"Water Flow Controler",Electrical,,,,,0.00,Pcs,
"Glow Plug ",Electrical,,,,,1.00,Pcs,
"PCB Carket Board",Electrical,,,,,0.00,Pcs,
"Soldering Iron  60 W",Electrical,,,,,5.00,Pcs,
"PC 817 Opho Cippter",Electrical,,,,,0.00,Pcs,
"Soldering Iron coil  300 W",Electrical,,,,,8.00,Pcs,
"LED (RED+Yellow)",Electrical,,,,,0.00,Pcs,
"Soldering Iron coil  200 W",Electrical,,,,,16.00,Pcs,
"Inverter FRD704 380v",Electrical,,,,,0.00,Pcs,
"Soldering Iron Heater 150 W",Electrical,,,,,15.00,Pcs,
"PCB Relay 14 pin 24v dc",Electrical,,,,,0.00,Pcs,
"Contactor Base ",Electrical,,,,,28.00,Pcs,
"Inverter FRD740",Electrical,,,,,0.00,Pcs,
"L.T Control Switch Reversing ",Electrical,,,,,5.00,Pcs,
"Show Unit Coil ",Electrical,,,,,0.00,Pcs,
"Contack Block /Module",Electrical,,,,,2.00,Pcs,
"50 Module 100A Contact ABB",Electrical,,,,,0.00,Pcs,
"Control Switch Revering ",Electrical,,,,,4.00,Pcs,
"Ceramic Heater",Electrical,,,,,0.00,Pcs,
"Water Valve ",Electrical,,,,,4.00,Pcs,
"Fottes Relay",Electrical,,,,,0.00,Pcs,
"Relay DC",Electrical,,,,,60.00,Pcs,
"Servo Drive ",Electrical,,,,,0.00,Pcs,
"Relay 14 PIN",Electrical,,,,,4.00,Pcs,
"Flow Switch",Electrical,,,,,0.00,Pcs,
"Contactor Base ",Electrical,,,,,8.00,Pcs,
"Compelete Motor",Electrical,,,,,0.00,Pcs,
"Cable Lug",Electrical,,,,,5.00,Pcs,
"Submersible Over Load 25a",Electrical,,,,,0.00,Pcs,
"Electronic Time Recoder Ribbon ",Electrical,,,,,10.00,Pcs,
"FOS 9945 8 Pin IC",Electrical,,,,,0.00,Pcs,
"All Size Pencil Heater ",Electrical,,,,,108.00,Pcs,
"4 Pin IC, Pin, Jack ",Electrical,,,,,0.00,Pcs,
"Push Button Switch all size ",Electrical,,,,,227.00,Pcs,
"MA 4820",Electrical,,,,,0.00,Pcs,
"Push Button Switch Big ",Electrical,,,,,18.00,Pcs,
"CM2N 60F",Electrical,,,,,0.00,Pcs,
" Stop Push Button Switch ",Electrical,,,,,43.00,Pcs,
"Lod Unlod Piston",Electrical,,,,,0.00,Pcs,
"Valve 4H210-8",Electrical,,,,,1.00,Pcs,
"Solonoid Coil",Electrical,,,,,0.00,Pcs,
"Big Size Colling Fan ",Electrical,,,,,1.00,Pcs,
"Blow down Valve Kit",Electrical,,,,,0.00,Pcs,
"Small Size Colling Fan ",Electrical,,,,,19.00,Pcs,
"F2 Hakg50 Intak Valve Kit",Electrical,,,,,0.00,Pcs,
"Protection Curnent Coil ",Electrical,,,,,3.00,Pcs,
"Drive Coupling Element",Electrical,,,,,0.00,Pcs,
"Universal Switch ",Electrical,,,,,6.00,Pcs,
"Pressure Control ",Electrical,,,,,4.00,Pcs,
"Dircction OF Flow",Electrical,,,,,3.00,Pcs,
"Control Switch ",Electrical,,,,,2.00,box,
"FIRE Alarm",Electrical,,,,,5.00,Pcs,
"Tube Light Set ",Electrical,,,,,2.00,Pcs,
"Pressure Miter ",Electrical,,,,,10.00,Pcs,
"Contack Block ",Electrical,,,,,4.00,Pcs,
"Pressure Miter  Big Size ",Electrical,,,,,4.00,Pcs,
"Magentic  Contoller  40 A",Electrical,,,,,5.00,Pcs,
"Thermal Overload  10 A",Electrical,,,,,1.00,Pcs,
"Load Sell 300KG ",Electrical,,,,,1.00,Pcs,
"Spray ",Electrical,,,,,5.00,Pcs,
"Water Seal ",Electrical,,,,,31.00,Pcs,
"Joy Stick ",Electrical,,,,,6.00,Pcs,
"DA.CO Gum",Electrical,,,,,35.00,Pcs,
"White Cement ",Electrical,,,,,9.00,KG,
"Air Break (power )Contactor 70A",Electrical,,,,,1.00,Pcs,
"Power Supply",Electrical,,,,,3.00,Pcs,
"Power Supply Big ",Electrical,,,,,2.00,Pcs,
"Cam Switch",Electrical,,,,,6.00,Pcs,
"Auto Drain Valve ",Electrical,,,,,4.00,Pcs,
"Thermal Overload Relay",Electrical,,,,,1.00,Pcs,
"LED Lamp ",Electrical,,,,,1.00,Pcs,
"On Off Switch",Electrical,,,,,2.00,Pcs,
"Fuse Cutout 60A",Electrical,,,,,1.00,Pcs,
"Lote Seal ",Electrical,,,,,5.00,Pcs,
"Cutout all size ",Electrical,,,,,10.00,Pcs,
"Bote R07-200",Electrical,,,,,11.00,Pcs,
"PVC Channel",Electrical,,,,,83.00,Pcs,
"Compressure Dryer Filter",Electrical,,,,,0.00,Pcs,
"Protection Current Coil",Electrical,,,,,0.00,Pcs,
"P.V.C Fan Pakha ",Electrical,,,,,0.00,Pcs,
"Magnatic Sensor 24V DC",Electrical,,,,,0.00,Pcs,
"Air Filter Regulator for B.C.S M/C",Electrical,,,,,0.00,Pcs,
"Pressure Mitre",Electrical,,,,,0.00,Pcs,
"MK Box Cover",Electrical,,,,,0.00,Pcs,
"Table Fan Capacitor 4.5",Electrical,,,,,0.00,Pcs,
"Magnetic Connector 220v",Electrical,,,,,0.00,Pcs,
"Motor Protection switch",Electrical,,,,,0.00,Pcs,
"Mangnetic Contacor 50A",Electrical,,,,,0.00,Pcs,
"Mangnetic Contacor 24 v Dc",Electrical,,,,,0.00,Pcs,
"Power Supply Cell ",Electrical,,,,,0.00,Pcs,
"Magnetic Connector 2.84 A",Electrical,,,,,0.00,Pcs,
"Magnetic Connector 10A",Electrical,,,,,0.00,Pcs,
"Air Break Power Connector 220v",Electrical,,,,,0.00,Pcs,
"Joy Stick Controller",Electrical,,,,,0.00,Pcs,
"Cutout ",Electrical,,,,,0.00,Pcs,
"Tube Light Set 100 A",Electrical,,,,,0.00,Pcs,
"Magnetic Contactor 90 A",Electrical,,,,,0.00,Pcs,
"Magnetic Contactor 40 A",Electrical,,,,,0.00,Pcs,
"High Voltage Magnate Bar ",Electrical,,,,,0.00,Pcs,
"Water Seal (All size)",Electrical,,,,,0.00,Pcs,
"Over Load Relay 2.1A",Electrical,,,,,0.00,Pcs,
"Hydrolic Solonide Valve ",Electrical,,,,,0.00,Pcs,
"Thermal Overload Relay 12-18",Electrical,,,,,0.00,Pcs,
"Over Load Relay 2.5 A",Electrical,,,,,0.00,Pcs,
"Over Load Relay 12-18",Electrical,,,,,0.00,Pcs,
"Over Load Relay 0.54-0.08 A",Electrical,,,,,0.00,Pcs,
"Over Load Relay 0.63-1 A",Electrical,,,,,0.00,Pcs,
"Over Load Relay 4-6 A",Electrical,,,,,0.00,Pcs,
"Fuse 40A HRC",Electrical,,,,,0.00,Pcs,
"High Voltage Generator ",Electrical,,,,,0.00,Pcs,
"Controll Box",Electrical,,,,,0.00,Pcs,
"Bereal Heater ",Electrical,,,,,0.00,Pcs,
"Thread Tape",Electrical,,,,,0.00,Pcs,
"pvc Tape",Electrical,,,,,0.00,Pcs,
"Bed Switch ",Electrical,,,,,0.00,Pcs,
"2 Pin Socket",Electrical,,,,,0.00,Pcs,
"2 Pin Plug",Electrical,,,,,0.00,Pcs,
"Led Power Supply ",Electrical,,,,,0.00,Pcs,
Holder,Electrical,,,,,0.00,Pcs,
"Peano Switch",Electrical,,,,,0.00,Pcs,
Cable.,Electrical,,,,,0.00,Pcs,
"Multi Socket",Electrical,,,,,0.00,Pcs,
"Soldering Iron small / Big",Electrical,,,,,0.00,Pcs,
"Led Sarfas ",Electrical,,,,,0.00,Pcs,
"Dryer Filter ",Electrical,,,,,0.00,Pcs,
"CPU Module(24v supply)",Electrical,,,,,0.00,Pcs,
"Ceramic Heater Cover",Electrical,,,,,0.00,Pcs,
"1 way Switch",Electrical,,,,,0.00,Pcs,
"Carbon Plate",Electrical,,,,,0.00,Pcs,
"Carbon Seal (Ata Lamination)",Electrical,,,,,0.00,Pcs,
"SDB Box",Electrical,,,,,0.00,Pcs,
"Carbon Seal Big",Electrical,,,,,0.00,Pcs,
"ONN/OFF Switch",Electrical,,,,,0.00,Pcs,
"Motor Protactor 25-32",Electrical,,,,,0.00,Pcs,
"Diod Cable",Electrical,,,,,0.00,Pcs,
"Battery ",Electrical,,,,,0.00,Pcs,
"RTV Gum",Electrical,,,,,0.00,Pcs,
"Silicon Gum",Electrical,,,,,0.00,Pcs,
"Pilot Rode",Electrical,,,,,0.00,Pcs,
"Break Show",Electrical,,,,,0.00,Pcs,
